w1	w2	w3	w4	count	gt_prob
.	સી	.	બી	2	0.00138313
આ	આરોપી	ને	ઝડપી	2	0.00138313
આરોપી	ને	ઝડપી	પાડવા	2	0.00138313
એલ	.	સી	.	2	0.00138313
ને	ઝડપી	પાડવા	માટે	2	0.00138313
ભયના	કારણે	તેમની	અંદર	2	0.00138313
સી	.	બી	.	2	0.00138313
!	કોઈ	કંપની	તેઓ	1	0.00000676
!	નર્મદા	જીલ્લાના	ડેડીયાપાડા	1	0.00000676
,	2008	માં	અપરાધ	1	0.00000676
,	અઠવાડિયામાં	એક	વખત	1	0.00000676
,	અથવા	કલાક	દીઠ	1	0.00000676
,	અને	બે	યુવાન	1	0.00000676
,	અને	વજન	ઘટાડવા	1	0.00000676
,	અને	શું	અમિતાભ	1	0.00000676
,	અમને	આસપાસ	મન	1	0.00000676
,	આણંદ	,	નડિયાદ	1	0.00000676
,	ઉદાહરણ	તરીકે	,	1	0.00000676
,	એ	જોવું	રસપ્રદ	1	0.00000676
,	એમ	અમેરિકાની	વૈશ્વિક	1	0.00000676
,	ગાંધીનગર	અને	અમદાવાદમાં	1	0.00000676
,	ગોધરા	,	આણંદ	1	0.00000676
,	ચેતનભાઇ	ના	પિતાશ્રીનું	1	0.00000676
,	ચોરી	વસ્તુઓ	પરત	1	0.00000676
,	જણાવ્યું	હતું	કે	1	0.00000676
,	જૂના	માણસ	તેના	1	0.00000676
,	જે	100	લોડ	1	0.00000676
,	જ્યાંથી	અમદાવાદ	તેમજ	1	0.00000676
,	તેઓ	તેને	સારવાર	1	0.00000676
,	તેને	જોવા	માટે	1	0.00000676
,	તેમણે	તે	સારું	1	0.00000676
,	તેમણે	વચન	આપ્યું	1	0.00000676
,	તેમાં	એ	બીજા	1	0.00000676
,	ત્યારે	બીજી	તરફ	1	0.00000676
,	ત્રિપુરા	,	નાગાલેન્ડ	1	0.00000676
,	દિલીપ	અને	રબારી	1	0.00000676
,	નડિયાદ	અને	વડોદરા	1	0.00000676
,	નાગાલેન્ડ	અને	મેઘાલયમાં	1	0.00000676
,	નેતાઓ	તો	તમાશો	1	0.00000676
,	પંપનું	જૂથ	સ્થાપિત	1	0.00000676
,	પ્રોવિડન્ટ	ફંડ	અને	1	0.00000676
,	પ્લેટ	હીટ	એક્સ્ચેન્જર	1	0.00000676
,	બે	તબક્કા	છે	1	0.00000676
,	માત્ર	સુપર	મોડલ	1	0.00000676
,	મિલનભાઇ	હરીશભાઇ	માવાણીએ	1	0.00000676
,	વિનોદ	,	દિલીપ	1	0.00000676
,	વિપક્ષના	સરકાર	પર	1	0.00000676
,	વેરા	વધારવા	બાબતે	1	0.00000676
,	વ્યક્તિગત	ઉષ્ણતા	બિંદુ	1	0.00000676
