w1	w2	count	gt_prob
છે	.	35	0.02417127
છે	,	8	0.00552486
.	આ	6	0.00414365
શકે	છે	5	0.00138122
હતા	.	5	0.00138122
હતો	.	5	0.00138122
કર્યું	હતું	4	0.00258978
જૂના	માણસ	4	0.00258978
રૂા	.	4	0.00258978
હતું	.	4	0.00258978
,	અને	3	0.00220994
.	તેમણે	3	0.00220994
આવે	છે	3	0.00220994
માટે	,	3	0.00220994
હતું	કે	3	0.00220994
,	તેમણે	2	0.00022041
.	એસ	2	0.00022041
.	કેન્દ્રીય	2	0.00022041
.	જેને	2	0.00022041
.	પછી	2	0.00022041
.	બી	2	0.00022041
.	સી	2	0.00022041
અનાવરણ	કર્યું	2	0.00022041
આ	આરોપી	2	0.00022041
આ	કેદીઓને	2	0.00022041
આપે	છે	2	0.00022041
આરોપી	ને	2	0.00022041
આવશે	.	2	0.00022041
આવી	છે	2	0.00022041
આવ્યા	અને	2	0.00022041
ઉપયોગી	છે	2	0.00022041
એલ	.	2	0.00022041
એસ	.	2	0.00022041
કરવામાં	આવશે	2	0.00022041
કરી	શકે	2	0.00022041
કાર	વીમા	2	0.00022041
કારણે	તેમની	2	0.00022041
કે	આ	2	0.00022041
કે	તેઓ	2	0.00022041
છે	કે	2	0.00022041
ઝડપી	પાડવા	2	0.00022041
ડી	.	2	0.00022041
તા	.	2	0.00022041
તેમની	અંદર	2	0.00022041
થશે	.	2	0.00022041
દારૃનો	જથ્થો	2	0.00022041
ન	હતી	2	0.00022041
ના	રોજ	2	0.00022041
ને	આ	2	0.00022041
ને	ઝડપી	2	0.00022041
પાડવા	માટે	2	0.00022041
પી	.	2	0.00022041
બી	.	2	0.00022041
ભથ્થું	,	2	0.00022041
ભયના	કારણે	2	0.00022041
માટે	નર્મદા	2	0.00022041
યાત્રા	દરમિયાન	2	0.00022041
રહેશે	.	2	0.00022041
લાગે	છે	2	0.00022041
શરૂ	કર્યું	2	0.00022041
સી	.	2	0.00022041
હતી	.	2	0.00022041
!	કોઈ	1	0.00005156
!	નર્મદા	1	0.00005156
,	2008	1	0.00005156
,	અઠવાડિયામાં	1	0.00005156
,	અથવા	1	0.00005156
,	અમને	1	0.00005156
,	આણંદ	1	0.00005156
,	ઉદાહરણ	1	0.00005156
,	એ	1	0.00005156
,	એમ	1	0.00005156
,	ગાંધીનગર	1	0.00005156
,	ગોધરા	1	0.00005156
,	ચેતનભાઇ	1	0.00005156
,	ચોરી	1	0.00005156
,	જણાવ્યું	1	0.00005156
,	જૂના	1	0.00005156
,	જે	1	0.00005156
,	જ્યાંથી	1	0.00005156
,	તેઓ	1	0.00005156
,	તેને	1	0.00005156
