w1	w2	count	p_cond
છે	.	35	0.68627451
છે	,	9	0.17647059
.	આ	6	0.06122449
શકે	છે	5	0.83333333
હતા	.	5	0.83333333
હતો	.	5	0.62500000
કર્યું	હતું	4	0.66666667
જૂના	માણસ	4	1.00000000
રૂા	.	4	1.00000000
હતું	.	4	0.50000000
,	અને	3	0.06382979
.	તેમણે	3	0.03061224
આવે	છે	3	0.75000000
માટે	,	3	0.16666667
હતું	કે	3	0.37500000
,	તેમણે	2	0.04255319
.	એસ	2	0.02040816
.	કેન્દ્રીય	2	0.02040816
.	જેને	2	0.02040816
.	પછી	2	0.02040816
.	બી	2	0.02040816
.	સી	2	0.02040816
અનાવરણ	કર્યું	2	1.00000000
આ	આરોપી	2	0.09523810
આ	કેદીઓને	2	0.09523810
આપે	છે	2	1.00000000
આરોપી	ને	2	0.66666667
આવશે	.	2	1.00000000
આવી	છે	2	0.66666667
આવ્યા	અને	2	0.66666667
ઉપયોગી	છે	2	1.00000000
એલ	.	2	1.00000000
એસ	.	2	0.66666667
કરવામાં	આવશે	2	0.40000000
કરી	શકે	2	0.66666667
કાર	વીમા	2	1.00000000
કારણે	તેમની	2	0.50000000
કે	આ	2	0.18181818
કે	તેઓ	2	0.18181818
છે	કે	2	0.03921569
ઝડપી	પાડવા	2	0.66666667
ડી	.	2	0.50000000
તા	.	2	1.00000000
તેમની	અંદર	2	0.66666667
થશે	.	2	1.00000000
દારૃનો	જથ્થો	2	0.66666667
ન	હતી	2	1.00000000
ના	રોજ	2	0.40000000
ને	આ	2	0.33333333
ને	ઝડપી	2	0.33333333
પાડવા	માટે	2	1.00000000
પી	.	2	0.50000000
બી	.	2	1.00000000
ભથ્થું	,	2	1.00000000
ભયના	કારણે	2	1.00000000
માટે	નર્મદા	2	0.11111111
યાત્રા	દરમિયાન	2	0.66666667
રહેશે	.	2	0.50000000
લાગે	છે	2	1.00000000
શરૂ	કર્યું	2	0.66666667
સી	.	2	1.00000000
હતી	.	2	0.40000000
!	કોઈ	1	0.50000000
!	નર્મદા	1	0.50000000
,	2008	1	0.02127660
,	Deep@Gmi.com	1	0.02127660
