w1	w2	w3	count	gt_prob
કર્યું	હતું	.	4	0.00276434
શકે	છે	.	4	0.00276434
.	એસ	.	2	0.00138217
.	બી	.	2	0.00138217
.	સી	.	2	0.00138217
આ	આરોપી	ને	2	0.00138217
આરોપી	ને	ઝડપી	2	0.00138217
આવી	છે	.	2	0.00138217
આવે	છે	,	2	0.00138217
એલ	.	સી	2	0.00138217
કરવામાં	આવશે	.	2	0.00138217
કારણે	તેમની	અંદર	2	0.00138217
છે	.	આ	2	0.00138217
છે	.	કેન્દ્રીય	2	0.00138217
છે	.	તેમણે	2	0.00138217
ઝડપી	પાડવા	માટે	2	0.00138217
ને	ઝડપી	પાડવા	2	0.00138217
ભયના	કારણે	તેમની	2	0.00138217
સી	.	બી	2	0.00138217
!	કોઈ	કંપની	1	0.00001672
!	નર્મદા	જીલ્લાના	1	0.00001672
,	2008	માં	1	0.00001672
,	અઠવાડિયામાં	એક	1	0.00001672
,	અથવા	કલાક	1	0.00001672
,	અને	બે	1	0.00001672
,	અને	વજન	1	0.00001672
,	અને	શું	1	0.00001672
,	અમને	આસપાસ	1	0.00001672
,	આણંદ	,	1	0.00001672
,	ઉદાહરણ	તરીકે	1	0.00001672
,	એ	જોવું	1	0.00001672
,	એમ	અમેરિકાની	1	0.00001672
,	ગાંધીનગર	અને	1	0.00001672
,	ગોધરા	,	1	0.00001672
,	ચેતનભાઇ	ના	1	0.00001672
,	ચોરી	વસ્તુઓ	1	0.00001672
,	જણાવ્યું	હતું	1	0.00001672
,	જૂના	માણસ	1	0.00001672
,	જે	100	1	0.00001672
,	જ્યાંથી	અમદાવાદ	1	0.00001672
,	તેઓ	તેને	1	0.00001672
,	તેને	જોવા	1	0.00001672
,	તેમણે	તે	1	0.00001672
,	તેમણે	વચન	1	0.00001672
,	તેમાં	એ	1	0.00001672
,	ત્યારે	બીજી	1	0.00001672
,	ત્રિપુરા	,	1	0.00001672
,	દિલીપ	અને	1	0.00001672
,	નડિયાદ	અને	1	0.00001672
,	નાગાલેન્ડ	અને	1	0.00001672
,	નેતાઓ	તો	1	0.00001672
,	પંપનું	જૂથ	1	0.00001672
,	પ્રોવિડન્ટ	ફંડ	1	0.00001672
,	પ્લેટ	હીટ	1	0.00001672
,	બે	તબક્કા	1	0.00001672
,	માત્ર	સુપર	1	0.00001672
,	મિલનભાઇ	હરીશભાઇ	1	0.00001672
,	વિનોદ	,	1	0.00001672
,	વિપક્ષના	સરકાર	1	0.00001672
,	વેરા	વધારવા	1	0.00001672
,	વ્યક્તિગત	ઉષ્ણતા	1	0.00001672
,	શહેર	ભથ્થું	1	0.00001672
,	સગર્ભા	સ્ત્રીઓ	1	0.00001672
,	સમજશક્તિ	,	1	0.00001672
,	સાંજે	ચા	1	0.00001672
,	હાલોલ	,	1	0.00001672
.	અઠવાડિયાના	અંતે	1	0.00001672
.	અવાજ	સુનાવણી	1	0.00001672
.	અહીંયાં	આપણે	1	0.00001672
.	આ	અઠવાડિયે	1	0.00001672
.	આ	આંકડો	1	0.00001672
.	આ	ઉદ્ઘાટન	1	0.00001672
.	આ	કિસ્સામાં	1	0.00001672
.	આ	કેદીઓને	1	0.00001672
.	આ	ઠેકાઓ	1	0.00001672
.	આઇ	એચ	1	0.00001672
.	આબુથી	આવતો	1	0.00001672
.	આમ	આ	1	0.00001672
.	આરોપી	કલ્પેશ	1	0.00001672
.	આવા	કપરા	1	0.00001672
.	ઉખાણાઓ	બાળકો	1	0.00001672
.	એલ	.	1	0.00001672
.	કર્ક	મહિલા	1	0.00001672
.	કાગદડી	નજીક	1	0.00001672
.	કાર	વીમા	1	0.00001672
.	કારણ	કે	1	0.00001672
.	કેટલાક	જાતકો	1	0.00001672
.	કેન્દ્રીય	કર્મચારીઓને	1	0.00001672
.	કેન્દ્રીય	મંત્રી	1	0.00001672
.	કોર્ટે	આ	1	0.00001672
.	ખાસ	કરીને	1	0.00001672
.	ખુબજ	મુશ્કેલ	1	0.00001672
.	ગાર્ગી	કૉલેજમાં	1	0.00001672
.	ગ્રો	અને	1	0.00001672
.	જૂના	માણસ	1	0.00001672
.	જેને	પગલે	1	0.00001672
.	જેને	વ્યાપક	1	0.00001672
.	જોકે	,	1	0.00001672
.	જ્યારે	મોરારીબાપુએ	1	0.00001672
.	ડી	.	1	0.00001672
.	તમારા	માટે	1	0.00001672
.	તે	જ	1	0.00001672
.	તેઓ	મેમરી	1	0.00001672
.	તેના	બેગ	1	0.00001672
.	તેમજ	ત્રણ	1	0.00001672
.	તેમણે	કહ્યું	1	0.00001672
.	તેમણે	કુલ	1	0.00001672
.	તેમણે	તેમને	1	0.00001672
.	ત્યાં	તેને	1	0.00001672
.	ત્યારબાદ	હોસ્પિટલનું	1	0.00001672
.	દબાણના	ડ્રોપની	1	0.00001672
.	દેશના	ઝડપથી	1	0.00001672
.	ધન	ખરીદવાનું	1	0.00001672
.	ધારાસભ્ય	પી	1	0.00001672
.	નમૂનારૂપ	ઉત્તર	1	0.00001672
