w1	w2	w3	w4	count	gt_prob
at	an	average	of	10	0.00210084
India	to	victory	in	4	0.00084034
as	the	captain	of	4	0.00084034
innings	at	an	average	4	0.00084034
led	India	to	victory	4	0.00084034
one	of	the	most	4	0.00084034
the	captain	of	the	4	0.00084034
to	victory	in	the	4	0.00084034
'Team	of	the	Tournament'	3	0.00021008
Dhoni	became	the	first	3	0.00021008
Dhoni	led	India	to	3	0.00021008
He	was	named	as	3	0.00021008
Parachute	Regiment	of	the	3	0.00021008
Regiment	of	the	Indian	3	0.00021008
by	an	Indian	captain	3	0.00021008
by	an	Indian	wicket-keeper	3	0.00021008
captain	of	the	Indian	3	0.00021008
first	match	of	the	3	0.00021008
highest	score	by	an	3	0.00021008
in	the	first	match	3	0.00021008
in	the	group	stage	3	0.00021008
of	the	'Team	of	3	0.00021008
of	the	Indian	Territorial	3	0.00021008
of	the	decade:	2011–2020	3	0.00021008
of	the	most	prolific	3	0.00021008
runs	at	an	average	3	0.00021008
score	by	an	Indian	3	0.00021008
the	'Team	of	the	3	0.00021008
the	Indian	Premier	League	3	0.00021008
the	Indian	cricket	team	3	0.00021008
the	Man	of	the	3	0.00021008
the	ODI	series	in	3	0.00021008
the	first	match	of	3	0.00021008
the	highest	score	by	3	0.00021008
the	home	series	against	3	0.00021008
was	picked	for	the	3	0.00021008
(captain	and	wicket-keeper)	ICC	2	0.00018193
2011–2020	(captain	and	wicket-keeper)	2	0.00018193
CSK	to	its	second	2	0.00018193
Cricketer	of	the	Year:	2	0.00018193
Dhoni	holds	an	honorary	2	0.00018193
Dhoni	led	CSK	to	2	0.00018193
Dhoni	played	for	Bihar	2	0.00018193
Dhoni	was	appointed	as	2	0.00018193
Dhoni	was	awarded	an	2	0.00018193
Dhoni	was	picked	for	2	0.00018193
ICC	Cricket	Hall	of	2	0.00018193
Indian	squad	for	the	2	0.00018193
Lieutenant	colonel	in	the	2	0.00018193
Mahendra	Singh	Dhoni	at	2	0.00018193
ODI	Team	of	the	2	0.00018193
ODI	team	of	the	2	0.00018193
South	Africa	in	November	2	0.00018193
Sri	Lanka	in	the	2	0.00018193
Team	of	the	Year:	2	0.00018193
Tournament'	by	the	ICC.	2	0.00018193
