w1	w2	w3	count	gt_prob
an	average	of	11	0.00231044
at	an	average	10	0.00231044
by	an	Indian	9	0.00105020
of	the	Indian	9	0.00105020
squad	for	the	8	0.00378072
one	of	the	7	0.00168032
Dhoni	made	his	6	0.00024505
captain	of	the	6	0.00024505
in	the	first	6	0.00024505
of	the	Year:	6	0.00024505
of	the	series	6	0.00024505
the	captain	of	6	0.00024505
Chennai	Super	Kings	5	0.00108021
Dhoni	played	for	5	0.00108021
India	to	victory	5	0.00108021
ODI	series	in	5	0.00108021
as	the	captain	5	0.00108021
became	the	first	5	0.00108021
runs	in	the	5	0.00108021
Dhoni	became	the	4	0.00036757
Dhoni	led	India	4	0.00036757
Dhoni	was	awarded	4	0.00036757
Indian	Premier	League	4	0.00036757
Man	of	the	4	0.00036757
South	Africa	in	4	0.00036757
Sri	Lanka	in	4	0.00036757
against	South	Africa	4	0.00036757
in	international	cricket	4	0.00036757
in	the	second	4	0.00036757
innings	at	an	4	0.00036757
led	CSK	to	4	0.00036757
led	India	to	4	0.00036757
match	of	the	4	0.00036757
of	the	ODI	4	0.00036757
of	the	most	4	0.00036757
runs	in	four	4	0.00036757
the	ODI	series	4	0.00036757
to	victory	in	4	0.00036757
victory	in	the	4	0.00036757
'Team	of	the	3	0.00031117
Dhoni	was	appointed	3	0.00031117
He	has	scored	3	0.00031117
He	was	named	3	0.00031117
Indian	cricket	team	3	0.00031117
Mahendra	Singh	Dhoni	3	0.00031117
Parachute	Regiment	of	3	0.00031117
Regiment	of	the	3	0.00031117
Team	of	the	3	0.00031117
West	Indies	and	3	0.00031117
an	Indian	captain	3	0.00031117
an	Indian	wicket-keeper	3	0.00031117
appointed	as	the	3	0.00031117
as	a	wicket-keeper	3	0.00031117
as	one	of	3	0.00031117
captain	to	win	3	0.00031117
first	match	of	3	0.00031117
he	became	the	3	0.00031117
he	scored	just	3	0.00031117
highest	score	by	3	0.00031117
home	series	against	3	0.00031117
in	the	group	3	0.00031117
in	the	third	3	0.00031117
it	to	the	3	0.00031117
matches	as	captain	3	0.00031117
matches	in	the	3	0.00031117
of	India	in	3	0.00031117
of	the	'Team	3	0.00031117
of	the	Tournament'	3	0.00031117
of	the	decade:	3	0.00031117
picked	for	the	3	0.00031117
record	for	the	3	0.00031117
runs	at	an	3	0.00031117
runs	in	five	3	0.00031117
score	by	an	3	0.00031117
team	in	the	3	0.00031117
team	of	the	3	0.00031117
the	'Team	of	3	0.00031117
the	Indian	Premier	3	0.00031117
the	Indian	Territorial	3	0.00031117
the	Indian	cricket	3	0.00031117
the	Indian	team	3	0.00031117
the	Man	of	3	0.00031117
the	decade:	2011–2020	3	0.00031117
the	first	match	3	0.00031117
the	group	stage	3	0.00031117
the	highest	score	3	0.00031117
the	home	series	3	0.00031117
the	most	prolific	3	0.00031117
to	him	by	3	0.00031117
was	named	as	3	0.00031117
was	picked	for	3	0.00031117
was	released	on	3	0.00031117
wicket-keeper	of	the	3	0.00031117
(captain	and	wicket-keeper)	2	0.00016281
(captain	in	2009,	2	0.00016281
2011	Cricket	World	2	0.00016281
2011	World	Cup	2	0.00016281
2011–2020	(captain	and	2	0.00016281
2013	ICC	Champions	2	0.00016281
50	in	ODIs.	2	0.00016281
