Title,Link,Short_Description,Reported_Metric
"Real-time ML model to predict short-term mortality in critically ill patients (Lim et al., 2024)",https://ccforum.biomedcentral.com/articles/10.1186/s13054-024-04866-7,"Ensemble DL + LightGBM real-time model, externally validated on MIMIC, eICU and AmsterdamUMCdb.",Internal AUROC 0.964; External AUROC on MIMIC 0.890
"Real-time Mortality Prediction Using MIMIC-IV via Boosted Nonparametric Hazards (Nowroozilarki et al., 2021)",https://arxiv.org/pdf/2110.08949,BoXHED survival approach for real-time in-ICU mortality monitoring using time-varying covariates.,Out-of-sample AUC-ROC ≈ 0.83; AUC-PRC 0.41
"Predicting 30-days mortality for MIMIC-III sepsis patients with XGBoost (Hou et al., 2020)",https://translational-medicine.biomedcentral.com/articles/10.1186/s12967-020-02620-5,XGBoost vs logistic regression and SAPS-II for sepsis 30-day mortality on MIMIC-III.,XGBoost AUC = 0.857 (best)
"Explainable time-series deep learning models for ICU outcomes (Deng et al., 2022)",https://www.frontiersin.org/articles/10.3389/fmed.2022.933037/full,"RNN/GRU/LSTM with attention on MIMIC-IV for mortality, LOS, and readmission (general ICU patients).",Mortality AUC ≈ 0.870 (±0.001)
"XAI for In-hospital Mortality Prediction via Multimodal ICU Data (Li et al., 2023, arXiv)",https://arxiv.org/pdf/2312.17624,Multimodal transformer-based model (notes + events + vitals) with explainability (LRPTrans).,Competitive AUC-ROC vs baselines (see paper for exact numbers)
"Revisiting Clinical Outcome Prediction for MIMIC-IV (Röhr et al., 2024)",https://aclanthology.org/2024.clinicalnlp-1.18.pdf,Benchmarking clinical outcome prediction tasks on MIMIC-IV (includes in-hospital mortality).,Task-specific AUROCs reported in paper (varies by model/task)
"Real-time mortality prediction in the ICU (Johnson et al., 2018)",https://pmc.ncbi.nlm.nih.gov/articles/PMC5977709/,Early work on real-time ICU outcome prediction and sampling schemes for monitoring risk.,Benchmark results reported in paper (see link)
"XAI for In-hospital Mortality — Multimodal/Transformer (X-MMP / related multimodal works) (Li et al., 2023)",https://arxiv.org/pdf/2312.17624,"Multimodal transformer integrating notes, events and vitals; highlights explainability and competitive accuracy.",AUC-ROC competitive (see paper tables)
"Predicting 30-day mortality for ICU patients with Sepsis-3 (Yu et al., 2024)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11308624/,ML framework predicting 30-day sepsis mortality using MIMIC-III; compares multiple ML methods.,AUCs reported in paper (see link)
"Learning to predict in-hospital mortality risk with TCN on MIMIC-III (Chen et al., 2022)",https://bmcanesthesiol.biomedcentral.com/articles/10.1186/s12871-022-01625-5,Temporal convolutional network (TCN) vs attention-based and other baselines for mortality prediction.,Performance improvement vs baselines; see paper for AUCs
XAI for In-hospital Mortality Prediction via Multimodal ICU Data (alternate listing),https://arxiv.org/pdf/2312.17624,"See above — included because multimodal, explainable methods are rising.",See paper
"Machine Learning for In-hospital Mortality Prediction using MIMIC-IV (Chen et al., 2025 preprint)",https://arxiv.org/abs/2502.17978,Recent preprint benchmarking several ML methods using MIMIC-IV for ICU mortality tasks.,AUROC ranges vary by model — typically 0.80–0.90 depending on horizon/validation
"Predictive models and nomograms for in-hospital mortality (Li et al., BMJ Open / related)",https://pubmed.ncbi.nlm.nih.gov/ (search for Li nomogram MIMIC),XGBoost-based variable selection and nomogram to aid clinicians (MIMIC-III).,Reported AUC improvements over traditional scores (see paper)
Multimodal transformer & clinical notes integration for mortality prediction (various arXiv/ACL works),https://aclanthology.org/ (see ClinicalNLP proceedings and arXiv papers),Combining notes + structured time series improves discrimination over structured-only baselines.,Often improves AUC by several points (paper-specific numbers vary)
Benchmarking studies & reviews on MIMIC-IV outcome prediction (2022–2025),https://aclanthology.org/2024.clinicalnlp-1.18.pdf ; https://www.frontiersin.org/articles/10.3389/fmed.2022.933037/full,"Multiple recent reviews/benchmarks highlighting AUROC ranges, calibration, and external validation gaps.",Internal AUROC often 0.80–0.95; external performance often lower (see cited studies)
